queryid,documentid,answer,exact,f1
60357,2297633,220,1,1.0
242019,2298353,as long as the person's doctor and hospice care team,0,0.6206896551724138
1101110,2309607,a stock market index,0,0.23076923076923078
254652,2314610,"365 days, 6 hours, 6 minutes and 9.764 seconds",0,0.72
408563,2322244,Duane 'Dog' Chapman. Duane 'Dog' Chapman,0,0.11764705882352942
115833,2323997,accounts receivable ratio,0,0.18181818181818182
1002426,2332638,"April 19, 2019",0,0.6
1002330,2339676,"Sept. 7, 1927",0,0.33333333333333337
830040,2377847,pi times the square of the radius of the base times the height,0,0.7499999999999999
1099321,2378522,+1 877 277 4479,1,1.0
1093717,2378652,a member of a special corps in the Japanese air force,0,0.6956521739130436
994112,2383808,Australian native plant Melaleuca alternifolia,0,0.9090909090909091
968921,2386921,medieval Europe,1,1.0
239516,2390356,3.7 billion-year-old,1,1.0
815243,2392352,an extended speech by one person,1,1.0
30956,2397478,"$76,000",1,1.0
244808,2401457,four weeks,0,0.5
214771,2410757,defend Ortona at any cost,0,0.27777777777777773
979133,2412417,bones and teeth,0,0.5
671579,242137,165° Fahrenheit,0,0.3076923076923077
511837,24284,350ºF/177°,0,0.0
1097438,2429179,9,0,0.25
240584,2430996,15 minutes,0,0.19999999999999998
988911,2435952,Mike Pence,1,1.0
848432,2436658,The Land of Enchantment,0,0.4
451406,2438646,$31.40,0,0.0
1038849,2456914,a costumed superheroine who is the cousin to Superman,0,0.6363636363636364
185299,2459032,Snapdragon 820 and 821,0,0.7272727272727273
172608,2459114,independent variable,0,0.18181818181818182
95286,2462113,Roaming is technically supported by mobility management,0,0.0
881582,2473108,fiber-optics,1,1.0
1092996,2480040,kiss,0,0.1111111111111111
910777,2484668,discount department stores and warehouse stores,0,0.0
736713,2488243,Swiss franc,1,1.0
432680,2491367,"4,243",0,0.5
1022124,2495184,cooling and solidification of magma,0,0.5882352941176471
1069717,2496088,a form of power structure in which power rests with a small number of people,1,1.0
1072506,2496281,elimination of waste,0,0.2727272727272727
458064,2498341,1  26,0,0.5714285714285715
937947,2507447,1921,0,0.25
786021,2511493,Purchasing power parity,0,0.19999999999999998
786021,2511496,more stable than the older SLIP protocol and provides error checking features,0,0.10526315789473685
860655,2518205,treat or prevent bronchospasm,0,0.4
98151,2525170,43 560 square feet,0,0.4210526315789474
522953,2536541,"620,000",1,1.0
93823,2548558,Co-curricular,0,0.1
776576,2548636,flea and tick preventative,0,0.38095238095238093
322345,2553878,$100 to $200,0,0.6666666666666666
299350,2554035,three,0,0.19999999999999998
909547,2562120,The Sopranos,0,0.18181818181818182
544308,2565202,conditions are generally warm and pleasant with mostly sunny skies,0,0.4
585344,256600,an inward turning of the toe itself,0,0.16000000000000003
944181,256823,at age 11,0,0.13333333333333333
669046,2581858,"basil, oregano, thyme and parsley",0,0.6666666666666666
323555,2586628,"$13,560 per year",0,0.42857142857142855
559009,2587289,collecting wild plants and pursuing wild animals,1,1.0
1009237,2587770,a protective reaction to a perceived threat to a valued relationship,0,0.3902439024390244
800652,2588990,subsidized form,0,0.0851063829787234
931147,2593573,Mozilla Firefox,0,0.14285714285714288
314307,2603240,"$3,500-$5,600",0,0.2222222222222222
262280,2608045,12 to 21 days,0,0.29629629629629634
940916,2609893,Jan. 10,1,1.0
1010277,2614085,Athena,1,1.0
289812,262205,1.95,0,0.6666666666666666
961048,2622996,1917-1931,1,1.0
511330,2625018,1-888-280-4331,0,0.6666666666666666
1085035,2629412,the mercury thermometer with a standardized Fahrenheit scale,0,0.5714285714285715
1096357,2642160,$18.6 million,0,0.4444444444444445
1045072,2643049,10–,0,0.0
721885,2646237,RNA is similar,0,0.2222222222222222
586916,2646831,genetics,0,0.07407407407407407
178859,2651091,Brain injury,1,1.0
991207,2651275,Amy Schumer's boyfriend is a furniture designer and a photographer,0,0.8421052631578948
798945,2652138,lighter in flow than a menstrual period,0,0.5714285714285715
1033580,2661262,Bishop,0,0.5
576452,2663619,crystallization of materials dissolved in water,0,0.631578947368421
34039,2673480,$38.83 per month this year to $41.34 per month,0,0.5
986068,2688474,John Glenn,0,0.25
98847,2690287,0.0078125000004244 gallon in a ounce,0,0.36363636363636365
570905,2693949,English mastiff. The English mastiff,0,0.2
390813,2699347,July,0,0.16666666666666669
238886,2711167,72 hours,0,0.13333333333333336
993419,2720983,an island in the northeast Caribbean,0,0.4444444444444445
1010607,2722440,Testosterone,0,0.18181818181818182
616447,2730672,ninth month,0,0.5714285714285715
531142,2730772,38,0,0.14285714285714288
885505,2734277,Democratic Party,1,1.0
1000083,2745456,Precipitate delivery,0,0.3076923076923077
281002,2748535,15,0,0.2857142857142857
1025348,2753018,Gary Larson,1,1.0
784805,2753653,raster graphics file format that supports lossless data compression,0,0.7499999999999999
742446,2754742,echocardiogram,0,0.1111111111111111
988988,2768230,Ft. Pierce down in Florida,0,0.8333333333333333
326637,2770103,3 grams,0,0.2857142857142857
1091108,2770277,sensation has occurred,0,0.42857142857142855
905479,2791126,"March 27, 1964 at 5:36pm",0,0.9090909090909091
1090352,2791813,Styes are usually caused by infections of the oil glands in the eyelid,0,0.6451612903225806
904295,2791849,9:30 a.m. EST,0,0.5454545454545454
823203,2795318,laughing gas,0,0.0
524116,2805855,"up to 100,000 miles",0,0.4444444444444445
828588,2806207,little tongues,0,0.25
1007875,2806379,Johnson County,1,1.0
735387,284425,King County,0,0.6666666666666666
275137,2850054,two to five,0,0.2857142857142857
510152,2863753,The blood pressure when the heart is contracting,0,0.35294117647058826
418165,286523,"dairy foods like milk, cheese, and yogurt excellent sources of protein",0,0.42857142857142855
326719,2865593,46 grams per day,0,0.34782608695652173
1083909,2866050,digestion,0,0.5
1044249,2872182,$5 million,0,0.14814814814814814
1052563,2882149,Liam Neeson,0,0.8
735384,2882157,Henry County,1,1.0
948532,2884991,"June 23, 2017",0,0.5
138492,288981,a type of hematoma,0,0.4
512685,2904176,122°,0,0.0
416457,2908326,alive and well,0,0.4615384615384615
587674,292978,sprains and strains,0,0.14285714285714288
864507,29400,the lower jawbone,0,0.2222222222222222
314907,2946080,*$150.00-$200.00+,0,0.125
1085197,2951704,collagen and elastic fiber,0,0.0
1024669,2953794,the vice president,0,0.18181818181818182
298113,2960969,24,0,0.4
12741,296158,18-54 kg (40-120 lbs),0,0.6666666666666666
1100218,297186,may go beyond the fiber benefits of other foods,0,0.888888888888889
142153,2972884,every continent except Europe,0,0.6153846153846153
494730,297647,twice a month,1,1.0
586740,298259,bacterial overgrowth in the small intestine,0,0.4166666666666667
1021554,2991319,Thomas Edison,1,1.0
822585,3000240,composes muscles in animal bodies,0,0.16666666666666666
543849,3014034,wet,0,0.13333333333333333
165807,3025548,causes increase in blood pressure,0,0.35294117647058826
579133,303786,Hormones,0,0.125
992383,3041918,George C. Marshall,0,0.4
114037,3042404,$9.6625 per bushel,0,0.375
436844,3058555,9.5,0,0.33333333333333337
855031,3059280,59601,0,0.13333333333333333
249118,3072082,seven years,1,1.0
993107,3084317,seawater,0,0.13333333333333333
988122,3087523,60 conspirators,1,1.0
1086883,3098712,normal profit and economic profit,1,1.0
178859,3099567,Alzheimer's disease,0,0.2222222222222222
920717,310564,1929 crash of the stock market,0,0.5263157894736842
954711,3123064,days or weeks later,0,0.2857142857142857
203390,312683,viewing of the interior of the acetabulofemoral (hip) joint,0,0.4827586206896552
862701,3131368,The Bugatti Chiron,1,1.0
299732,3132683,5 weeks,0,0.8
922389,3135995,worrying that Japanese living in the US and Japanese sympathizers were spies for Japan,0,0.8387096774193548
679167,313880,lowest of female voices,0,0.5454545454545454
839128,3139046,neutral,0,0.1111111111111111
1014115,3145208,12-digit,0,0.18181818181818182
1084906,3152590,Lyme disease,0,0.13793103448275862
289586,3156798,"2,900",0,0.18181818181818182
280927,3161368,180,0,0.2222222222222222
62136,3165836,regression attempts to describe that. relationship between these variables in more detail,0,0.489795918367347
1090700,3168763,a task automation and configuration management framework,0,0.4
884533,31718,the part of the large intestine after the descending colon and before the rectum,0,0.9523809523809523
272605,3177287,2 weeks,0,0.15384615384615385
952926,3180222,December 21,0,0.21052631578947367
573452,3182069,one of a pair of identical twins,0,0.6
786477,3187134,exceptionally luxurious accommodations,0,0.0
125842,3190502,osteoporosis,0,0.05405405405405406
707670,3192747,lightweight or shatter-resistant alternative to glass,0,0.6666666666666666
567895,3194503,Neuropathy,0,0.4
900164,3193165,mobile virtual network operator,0,0.0
199442,319672,between 4% and 5.6%.,1,1.0
266920,3200880,6 to 7 hours,0,0.33333333333333337
161117,3221988,inside the quotation marks,0,0.5
447648,3222178,personal freedoms and liberties,0,0.3636363636363636
420673,3222326,diarrhea,0,0.0
897789,3224308,Arizona,0,0.07407407407407407
824920,3232958,"$2,687 per month",1,1.0
574730,3239670,Open-Market Operations,1,1.0
282397,3243435,6,0,0.5
354222,3243872,Heat deep fryer to 375 degrees F (190 degrees C).,0,0.3846153846153846
1050253,3255432,"Franke Previte, John DeNicola, and Donald Markowitz",0,0.16666666666666666
205086,3261425,"£29,995",1,1.0
307492,3266196,"$40,000 to $50,000 plus expenses",0,0.7142857142857143
1049767,3276859,Helen Reddy,0,0.5714285714285715
451484,329164,1-800-633-4227,1,1.0
371204,3296704,Eating too fast,0,0.06666666666666667
352236,330839,Place the beets in a large saucepan,0,0.5
253678,3314229,about 7 years,0,0.4
996119,3333112,"Rogers, Arkansas",0,0.3636363636363636
1092863,3354182,a condition in pregnancy characterized by a deficiency of amniotic fluid,0,0.5
558046,3358283,headaches,0,0.25
881723,3365094,FX,0,0.4
370734,3367316,Repeat steps 1-4,0,0.1090909090909091
305361,3367824,"$34,000",0,0.13333333333333333
999261,3368477,"South End neighborhood of Bridgeport, Connecticut",1,1.0
998062,3370881,Hawaii,0,0.2857142857142857
1020999,3387113,bladder instability,0,0.5
524733,3399995,neuralgia,0,0.0
1054610,3402482,an American psychologist,0,0.3636363636363636
1098222,3403837,28 earth days,0,0.5
291396,342743,25.36,0,0.19999999999999998
95409,3450674,"Celiac disease, cirrhosis, dermatomyositis, liver cancer",0,0.2926829268292683
17110,3464191,2 teaspoons,0,0.33333333333333337
339009,3468566,photoelectric effect,0,0.2222222222222222
323096,346971,$800-$1200,0,0.2222222222222222
65038,3470752,blueberries can also cause black stools,0,0.6666666666666666
1096866,3471973,16,0,0.25
984178,347885,Hart County,0,0.4444444444444445
205107,3489272,honest,0,0.11764705882352941
40337,3504966,$50.00,0,0.14285714285714288
59654,3510350,Tortilla,0,0.0
417362,3518144,not recognized or approved the marijuana plant as medicine,0,0.6956521739130436
899212,3529255,The liver,1,1.0
953445,3532615,"August 21, 2017",0,0.14285714285714288
272047,3532675,1 to 1-1/2 hours,0,0.29629629629629634
531490,3550561,uh–uh for English Language Learners,0,0.0
276208,3551563,328,0,0.052631578947368425
197964,3551968,acute upper and lower respiratory tract infections,0,0.3111111111111111
252632,358202,15–20 minutes,1,1.0
508104,3583169,Abdominal pain and swelling,1,1.0
847726,358892,Odobenidae,0,0.33333333333333337
245120,3595128,2-4 days,0,0.3636363636363636
189355,3602858,"Salmon, sardines and mackerel",1,1.0
974220,3618328,Champ de Mars,0,0.6666666666666666
537526,3620717,"sunlight, called the visible portion of the spectrum of electromagnetic radiation",0,0.1111111111111111
1090151,3624309,Systemic inflammatory response syndrome,0,0.5333333333333333
1068715,3628556,The Internet,0,0.0
1098236,3642832,between 12 and 13 months,1,1.0
804103,3644878,4 July,1,1.0
706215,3645530,the distance from its hub mounting surface to the centerline of the wheel,0,0.8333333333333333
277556,3655235,93,0,0.2222222222222222
61882,366294,A back injury or degenerative condition in the spine can cause local pain,0,0.7857142857142858
293401,366583,five,0,0.5
1100937,369396,"providing weather, traffic and other real-time information",0,0.43750000000000006
290499,369457,17,0,0.4
1003210,3698827,"Hodgenville, Kentucky",0,0.8
936501,3703239,as early as the 30s or as late as the 60s,0,0.8571428571428571
43781,3713070,"$101,000",0,0.04081632653061225
926980,3715499,1950-1953,1,1.0
1082384,371575,the body's best defensive weapons in the fight against germs and disease,0,0.8333333333333333
1091330,3722140,$100 to $200,0,0.8571428571428571
999385,3724143,Hornos Island,0,0.21052631578947367
822642,3725246,an enzyme that produces primary transcript RNA,0,0.1111111111111111
512087,3727684,84,0,0.16666666666666669
267566,3730799,20 minutes,1,1.0
567759,3732068,"The radial, median, and ulnar nerves",0,0.10256410256410256
127098,3739226,subscriber identification module,0,0.42857142857142855
1090350,3740121,instability in relationships,0,0.2608695652173913
931905,3743492,a limitation placed upon the United States Congress,0,0.5
11050,3746070,Molly Ringwald,1,1.0
252295,3748377,21 days,0,0.4
129792,3771070,pertaining to or affecting the body as a whole,0,0.8235294117647058
199572,378086,Infection of the hair shafts,0,0.1904761904761905
988960,3794542,Tennessee,0,0.06666666666666667
308687,3808979,"$5,000 to $7,000",0,0.5
244092,3809126,3 to 14 days,0,0.1
974808,3812919,"Orange County, Oklahoma",0,0.25
672433,382588,a blood test,0,0.14285714285714285
556248,3828290,fluid accumulation in the tissues of the tongue,0,0.0
750487,3835100,the direct manipulation of an organism's genome using biotechnology,0,0.2916666666666667
1017775,3838733,ad-,0,0.33333333333333337
887398,3862075,Plants in the Cole or brassica family,0,0.2857142857142857
299110,3863,10 pints,0,0.5714285714285715
841961,3916260,to protect citizens against unfair and unwarranted prosecutions by the government,0,0.9523809523809523
1084769,392674,the debt-to-income ratio,0,0.0
1100687,3935093,$1064,0,0.05882352941176471
1014210,3936732,Tdap,0,0.5
1005500,394092,"brain, heart, kidneys, liver, and lungs",1,1.0
275997,39460,upwards of over 230,0,0.5714285714285715
494730,3948109,Monday through Friday work schedule,0,0.32258064516129037
585378,395796,Iron deficiency,0,0.8
1093855,3961347,antidepressant,0,0.14285714285714288
919310,3964021,$10.2 billion,0,0.6666666666666666
820973,3971153,Dodge Charger Hellcat,0,0.6666666666666666
134861,3987716,heaviest weight and thickest wall,0,0.5
1092007,4012144,"December 7, 1941",1,1.0
251172,4020793,5-7 days,1,1.0
562827,4022587,gains electrons and is reduced in a chemical reaction,0,0.8
38608,4030713,$482,1,1.0
88577,404219,Pregnancy,0,0.16666666666666669
1060623,4052584,person who was born between 1946 and 1964,0,0.5161290322580645
685091,4060157,Eat more fiber,0,0.12244897959183672
725951,407030,"a colloquial term of address used for any person, primarily males",0,0.6666666666666666
704398,4071319,Trisodium phosphate,0,0.2666666666666667
1079868,4089798,Manabu Kurita,0,0.16
841165,4095724,Diffusion,1,1.0
783098,4096072,an essay used to convince a reader about a particular idea or focus,0,0.6896551724137931
555850,4113868,full service,0,0.0
902931,4123683,antinuclear antibody test,0,0.375
545847,412670,21°,0,0.0
387603,4137291,peace through strength  followed by a warming of relations with the Soviet Union,0,0.3384615384615384
17635,4178175,Anti-diuretic hormone,0,0.0
49435,4178845,1 : the hair that grows on a man's face,0,0.75
669444,4182082,follicle stimulating hormone,0,0.8571428571428571
675719,4182410,when spending exceeds income,0,0.32
1032011,4191200,senior United States Senator from Nevada,0,0.6666666666666666
293421,4212045,12,0,0.6666666666666666
597384,4214678,yellow,0,0.125
739913,4215483,tells what the character is like,0,0.5555555555555556
787255,4216689,defines the boundaries of the project,0,0.8
568703,422517,Economy Comfort,0,0.07843137254901959
